Title,Address Line 1,Address Line 2,Address Line 3,Postcode,Email,URLs,Telephone,Other Information
AddressManagement,Delamere HouseDelamere Street,Crewe,Cheshire,CW1 2LL,addressmanagement@cheshireeast.gov.uk,,,Address Management; Address Management Development Management Delamere; Cheshire East Council
Adoption,,,,,adoptionenquiries@adoptioncounts.org.uk,https://www.adoptioncounts.org.uk/get-in-touch,,Adoption
Affordable-Housing,,,,,lowcosthomeownership@cheshireeast.gov.uk,,,Affordable Housing
AirQualityTeam,,,,,airquality@cheshireeast.gov.uk,,,Air Quality Team; Cheshire East Council
AnimalMovement,,,,,,,,Animal Movement
AnimalWelfareTeam,,,,,animalhealthandwelfare@cheshireeast.gov.uk,,,Animal Welfare Team; Cheshire East Council
AntiSocialBehaviourTeam,,,,,ASBTeam@cheshireeast.gov.uk,,,Anti; Cheshire East Council; Social Behaviour Team
Assets,,,,,property@cheshireeast.gov.uk,,,
AutismTeam,,,,CW1 2LL,theautismteam@cheshireeast.gov.uk,,,Autism Team; Cheshire East Autism Team; Cheshire East Council
BenefitsSection,PO Box 622,Crewe,Cheshire,CW1 9JH,benefits@cheshireeast.gov.uk,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Benefits Section; Benefits Section Cheshire East Council; Box
BoroughNatureConservationOfficer,,,,,,,,Borough Nature Conservation Officer
Bowling-greens,,,,,info@cheshireeast.gov.uk,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Comment; Email Park Enquiries
BuildingControl,C/O Delamere House,Delamere Street,Crewe,CW1 2LL,BuildingControl@cheshireeast.gov.uk,,,Building Control; Cheshire East Council; Delamere House Delamere Street Crewe Cheshire
BuiltHeritage,,,,,built.heritage@cheshireeast.gov.uk,,,Built Heritage; Cheshire East Council Email; Planning
BusPassTeam,,,,,,https://www.traveline.info,,For Bus; The English Traveline; Train
Business-Generation-Centres,,,,,property@cheshireeast.gov.uk,,,Business Generation Centres Business Generation Centres
BusinessRates,PO Box 622,Crewe,Cheshire,CW1 9JH,,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Box; Business Rates; Cheshire East Council Contact
BusinessSupportTeam,,,,,tradingstandards@cheshireeast.gov.uk,,,Business Support Team Cheshire East Council Business Support Team; Cheshire East Council
CareAndRepair,,,,,careandrepair@cheshireeast.gov.uk,,,Care; Cheshire East Council; Repair
Cheshire-Homechoice,,,,,,"http://www.cheshirehomechoice.org.uk, http://www.helptobuynw.org.uk",,Cheshire Homechoice Phone; Homes Hub Phone; Low Cost Home Ownership Phone
CheshireEastTransport,Cledford Lane,Middlewich,Cheshire,CW10 0JR,buspassreplacements@transportservicesolutions.co.uk,https://www.traveline.info,,For Bus; Postal Address; The English Traveline
CheshireFarmsService,,,,,cheshirefarms@cheshirewestandchester.gov.uk,,,Cheshire East Council; Cheshire Farms Service
CheshireLicensing,,,,CW1 2LL,licensing@cheshireeast.gov.uk,https://www.cheshireeast.gov.uk/council_and_democracy/customer-services/contact_us.aspx,,Call; Cheshire East; Customer Service Centres
ChildEmployment,Floor 1 Delamere House,Delamere Street,Crewe,CW1 2LL,childemployment@cheshireeast.gov.uk,,,Attendance; Cheshire East Council; Children Out
ChildrensAssessmentTeam,,,,,CHECS@cheshireeast.gov.uk,,,Cheshire East Consultation Service; Emergency Duty Team; Hours
CitizenshipRegistrar,,,,,csc@cheshireeast.gov.uk,,,All; Citizenship Registrar Cheshire East Register Offices Email; Crewe
ClimateChangeTeam,,,,,climatechange@cheshireeast.gov.uk,,,Cheshire East Council; Climate Change Team
CommercialServices,,,,,commercialservices@cheshireeast.gov.uk,,,Contact Commercial Services Contact Commercial Services
CommonAssessmentFramework,,,,,familyhelpfrontdoor@cheshireeast.gov.uk,,,Cheshire East Council; Family Help Front Door Team Cheshire East Council Family Help Front Door Team; Tel
Community-governance,,,,,CommunityGovernance@cheshireeast.gov.uk,,,Community
CommunityFireProtection,,,,,fireadvicecheshireeast@cheshirefire.gov.uk,,,Cheshire East Community Fire Protection
CommunityGrants,,,,,communitygrants@cheshireeast.gov.uk,,,Cheshire East Council; Community Grants
Congleton-leisure-offer,,,,,,,,
CorporateProcurementUnit,,,,,procurement@cheshireeast.gov.uk,,,Cheshire East Council; Corporate Procurement Unit Cheshire East Council Corporate Procurement Unit
CouncilTax,,,,,,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Contact Council Tax Council Tax; Council Tax Customer Service Team; Friday
CountrysideRangerService,,,,,rangers@cheshireeast.gov.uk,,,Biddulph Valley Way; Borrow Pit Meadows; Brickworks
CreweGreenRoundabout,,,,,crewegreenroundabout@cheshireeast.gov.uk,,,
DevelopmentManagement,PO Box 606,Municipal Buildings,Crewe,CW1 9HP,planning@cheshireeast.gov.uk,,,Box; Cheshire East Council; Contact Development Management
Dog-wardens,,,,,dogwardens@cheshireeast.gov.uk,,,
DomesticAbusePartnership,,,,,,,,Cheshire East Domestic Abuse Hub Phone; In
EconomicDevelopmentAndRegeneration,,,,,business@cheshireeast.gov.uk,,,Economic Development
ElectoralServices,Macclesfield Town Hall,C/O Delamere House,Delamere Street,CW1 2LL,electoral.information@cheshireeast.gov.uk,,,Cheshire East Council; Delamere House Delamere Street Crewe Cheshire; Electoral Services
Emergency-Assistance,,,,CW1 9JH,,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Benefits Section Cheshire East Council; Box; Contact Emergency Assistance
EmergencyPlanning,,,,CW1 9JH,,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Benefits Section Cheshire East Council; Box; Earle Street Crewe Cheshire
EnvironmentalProtectionAndHealth,,,,,commercialservices@cheshireeast.gov.uk,,,Cheshire East Council; Environmental Protection
EnvironmentalProtectionNuisanceForm,,,,,,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Cheshire East Council Report; Environmental Protection
Exclusions,,,,,ExclusionsCE@cheshireeast.gov.uk,,,Pupil
FamilyInformationService,,,,,fis.east@cheshireeast.gov.uk,,,Cheshire East Council; Family Information Service Cheshire East Council Family Information Service
Free-School-Meals,Cheshire East CouncilPO Box 622,Crewe,Cheshire,CW1 9JH,freeschoolmeals@cheshireeast.gov.uk,,,Box; Cheshire Maintained School; Crewe Cheshire
Healthy-homes,,,,,careandrepair@cheshireeast.gov.uk,,,Cheshire East Council; Healthy
Help-to-Buy,,,,,info@helptobuynw.org.uk,,,Buy; Help
Highways-Development-Management-Team,6th Floor Delamere House,Delamere Street,Crewe,CW1 2LL,HighwaysDM@cheshireeast.gov.uk,,,Contact Highway Development Management Team Highway Development Management Team Email; Floor Delamere House Delamere Street Crewe Cheshire; Highway Development Management Team Strategic Infrastructure Cheshire East Council
Highways,Floor 6,Delamere House,Delamere Street,CW1 2LL,,"https://fixmystreet.cheshireeast.gov.uk, https://www.cheshireeast.gov.uk/council_and_democracy/council_information/website_information/trace.aspx",,Call; Cheshire East Council Report; Contact Highways Highways
HousingOptionsTeam,,,,,housingoptions@cheshireeast.gov.uk,,,Cheshire East Council; Housing Options Team
HousingStandardsTeam,,,,,privatehousing@cheshireeast.gov.uk,,,Cheshire East Council; Housing Standards Team
InfluenceCheshireEast,,,,,influence@cheshireeast.gov.uk,,,Influence Cheshire East Cheshire East Council
LandCharges,Municipal Buildings,Earle Street,Crewe,CW1 2BJ,landcharges@cheshireeast.gov.uk,,,Cheshire East Council; Crewe; Land Charges Cheshire East Council Land Charges
LetUsKnow,,,,,letusknow@cheshireeast.gov.uk,https://form.cheshireeast.gov.uk/service/feedback_form,,Cheshire East Council; Cheshire East Councilphone; Let Us Know Service
Licensing,Regulatory Services and Health C/O,"Delamere House, Delamere Street",Crewe,CW1 2LL,licensing@cheshireeast.gov.uk,,,Call; Cheshire East Council; Contact Licensing Licensing
LicensingwithContactCentres,Regulatory Services and Health C/O,"Delamere House, Delamere Street",Crewe,CW1 2LL,licensing@cheshireeast.gov.uk,,,Call; Cheshire East Council; Contact Licensing Licensing
LocalPlanningTeam,,,,,localplan@cheshireeast.gov.uk,,,All; Email Local Plan Team; Email Planning Department
NeighbourhoodPlanningTeam,,,,,neighbourhoods@cheshireeast.gov.uk,,,Cheshire East Council; Neighbourhood Planning Team
NovemberChildrensRightsMonth,,,,,ncrm@childrenssociety.org.uk,"https://en-gb.facebook.com/CheshireEastCouncil, https://twitter.com/cheshireeast",,Email November; Facebook; November
OrganisationAndCapitalStrategy,,,,,SOCS@cheshireeast.gov.uk,,,Capital Strategy; Cheshire East Council; Organisation
OutdoorEventsManager,,,,,andrew.latham@cheshireeast.gov.uk,,,Cheshire East Outdoor Events Manager
Park-enquiries,,,,,info@cheshireeast.gov.uk,"https://www.cheshireeast.gov.uk/leisure,_culture_and_tourism/parks_and_gardens/grounds-maintenance.aspx",,For; Report
ParkingEnquiries,,,,,carparks@cheshireeast.gov.uk,,,Cheshire East Council Email; Parking Enquiries
Partnership-Family-Help,,,,,Partnershipfamilyhelp@cheshireeast.gov.uk,,,Cheshire East Council Partnershipfamilyhelp; Partnership Family Help Cheshire East Council Partnership Family Help
PestControl,,,,,pestcontrol@cheshireeast.gov.uk,,,Cheshire East Council; Pest Control; We
PoliceServices,,,,,east.contingency.and.events@cheshire.pnn.police.uk,,,Email Police Services
PolicyAndAccessibilityTeam,Cledford Lane,Middlewich,Cheshire,CW10 0JR,activetravel@cheshireeast.gov.uk,,,Accessibility; Boxing Day; Cheshire East Council
PolicyAndForwardProgrammeTeam,Floor 6,Delamere House,Delamere Street,CW1 2LL,ltp@cheshireeast.gov.uk,,,Cheshire East Council; Delamere House Delamere Street Crewe Cheshire; Forward Programme Team
Poynton-Relief-Road,,,,CW1 2LL,,,,Contact Strategic Highways; Delamere House Delamere Street Crewe; Transportation Cheshire East Council Strategic Highways
PropertyHelpdesk,,,,,Assets@cheshireeast.gov.uk,,,Cheshire East Council Assets; Property
Public-toilets,,,,,info@cheshireeast.gov.uk,,,
PublicProtectionAndHealth,,,,,landquality@cheshireeast.gov.uk,,,Cheshire East Council; Land Quality
PublicRightsOfWayTeam,,,,,,"https://www.cheshireeast.gov.uk/leisure,_culture_and_tourism/public_rights_of_way/contact_public_rights_of_way.aspx",,Contact Public Rights; Way
Ranger-Service,,,,,astbury@cheshireeast.gov.uk,,,Email Countryside Ranger Service
Refugee-Info,,,,,refugeeinfo@cheshireeast.gov.uk,,,Refugee Info
RegisterOffices,,,,,creweregisteroffice@cheshireeast.gov.uk,,,Register Office Cheshire East Register Office
ResearchAndConsultation,,,,,randc@cheshireeast.gov.uk,,,Cheshire East Council; Consultation; Research
SEND,Floor 1,Macclesfield Town Hall,C/O Municipal Buildings,CW1 2LL,senteam@cheshireeast.gov.uk,,,Cheshire East Council; Cheshire East Special Educational Needs; Disability Statutory Assessment Service
School-Attendance,"Floor 1 Delamere House, Delamere Street",Crewe,Cheshire,CW1 2LL,childemployment@cheshireeast.gov.uk,,,Attendance; Children Out; Children Out Of School Service Floor
SchoolAdmissions,"Floor 1, Delamere House",Delamere Street,Crewe,CW1 2LL,admissions@cheshireeast.gov.uk,,,Cheshire East Council; Delamere House Delamere Street Crewe Cheshire; School Admissions
SchoolGovernanceTeam,"Floor 1, Delamere House",Delamere Street,Crewe,CW1 2LL,schoolgovernance@cheshireeast.gov.uk,,,Cheshire East Council Contact School Governance Team Email; Delamere House Delamere Street Crewe Cheshire; School Governance Floor
SchoolOrganisationAndCapitalStrategy,,,,,SOCS@cheshireeast.gov.uk,,01270 6864911,Capital Strategy; Capital Strategy Cheshire East Council; Cheshire East Council School Organisation
SchoolTransportEnquiries,,,,,schooltransport@cheshireeast.gov.uk,,,Bank Holidays; Friday; Monday
SpatialPlanningTeam,,,,,planningpolicy@cheshireeast.gov.uk,,,Cheshire East Council; Spatial Planning
Strategic-Housing-and-Development,,,,,housingpolicy@cheshire.gov.uk,,,Development; Email Strategic Housing
StrategicHousingLandAvailabilityAssessmentTeam,,,,,PlanningPolicy@cheshireeast.gov.uk,,,Cheshire East Council; Strategic Housing Land Availability Assessment
SupportedEmployment,Macclesfield Town Hall,Market Place,Macclesfield,SK10 1EA,supportedemployment@cheshireeast.gov.uk,,,Cheshire East Council; Supported Employment; Supported Employment Services Macclesfield Town Hall Market Place Macclesfield Cheshire
TownAndParishCouncils,,,,,townandparishcouncils@cheshireeast.gov.uk,,,Cheshire East Council; Parish Councils; Town
TownCentreManagement,,,,,d.smith@cheshireeast.gov.uk,,,Email Town Centre Management
TradingStandards,,,,,tradingstandards@cheshireeast.gov.uk,,,
TrafficAndRoadSafety,,,,,cheshireeasttraffic@cheshireeast.gov.uk,,,Cheshire East Council; Road Safety; Traffic
Trees-Woodland-and-Hedges,,,,,PlanningTrees@cheshireeast.gov.uk,,,Hedges; Trees; Woodland
VirtualSchool,,,,CW1 2JZ,,,,Cheshire East Council Virtual School Floor; Delamere House
WasteAndRecycling,,,,,,https://digital-core.cheshireeast.gov.uk/w/webpage/request,,Call; Cheshire East Council Contact; Contact Waste
childrens-mobile-centre,,,,,mobilechildrenscentre@cheshireeast.gov.uk,,,Centre; Cheshire East Mobile Children
connectedcommunities,,,,,communities@cheshireeast.gov.uk,,,Cheshire East Council; Communities Team
generic-contact-details,Address line 1,Address line 2,Address line 3,,a@b.com,,,Town County Postcode Phone
live-well-contact-template,,,,,email@emailaddress.co.uk,,01234 456 7890,County; Tel
